architecture,model_type,variation_name,layers,hidden_state,final_loss,final_val_loss,history_loss,history_val_loss,training_time_sec,weight_file,training_status
preinject_v2,SimpleRNN,Shallow_Small,1,128,1.318954348564148,1.3089663982391357,"[2.1647353172302246, 1.7097865343093872, 1.5126256942749023, 1.389500379562378, 1.318954348564148]","[1.8212318420410156, 1.598124623298645, 1.4391980171203613, 1.3567794561386108, 1.3089663982391357]",41.007493116000205,SimpleRNN_PreInjectV2_Shallow_Small_L1_H128.weights.h5,trained
preinject_v2,SimpleRNN,Deep_Small,2,128,1.4241796731948853,1.3908343315124512,"[2.1411635875701904, 1.8488153219223022, 1.7252833843231201, 1.5449432134628296, 1.4241796731948853]","[1.86465585231781, 1.807067632675171, 1.6349786520004272, 1.4761122465133667, 1.3908343315124512]",57.57987640600004,SimpleRNN_PreInjectV2_Deep_Small_L2_H128.weights.h5,trained
preinject_v2,SimpleRNN,VeryDeep_Small,3,128,1.3711358308792114,1.3460439443588257,"[2.1173970699310303, 1.8467957973480225, 1.6681382656097412, 1.4816569089889526, 1.3711358308792114]","[1.865653157234192, 1.7740976810455322, 1.5538002252578735, 1.4261060953140259, 1.3460439443588257]",73.57489993800027,SimpleRNN_PreInjectV2_VeryDeep_Small_L3_H128.weights.h5,trained
preinject_v2,SimpleRNN,Shallow_Mid,1,256,1.1874171495437622,1.2024351358413696,"[2.074531078338623, 1.5337350368499756, 1.3535164594650269, 1.2577784061431885, 1.1874171495437622]","[1.680229663848877, 1.4190244674682617, 1.3107266426086426, 1.2464327812194824, 1.2024351358413696]",50.51470102799976,SimpleRNN_PreInjectV2_Shallow_Mid_L1_H256.weights.h5,trained
preinject_v2,SimpleRNN,Shallow_Large,1,512,1.0848627090454102,1.1510790586471558,"[1.9497363567352295, 1.4211180210113525, 1.249658465385437, 1.153747320175171, 1.0848627090454102]","[1.543474793434143, 1.325705647468567, 1.2314037084579468, 1.1807695627212524, 1.1510790586471558]",74.14219268400029,SimpleRNN_PreInjectV2_Shallow_Large_L1_H512.weights.h5,trained
preinject_v2,SimpleRNN,Deep_Large,2,512,1.066879391670227,1.1462546586990356,"[1.8740581274032593, 1.4000277519226074, 1.2311502695083618, 1.1339257955551147, 1.066879391670227]","[1.5201103687286377, 1.3103033304214478, 1.2162832021713257, 1.1760201454162598, 1.1462546586990356]",94.3426465880002,SimpleRNN_PreInjectV2_Deep_Large_L2_H512.weights.h5,trained
preinject_v2,LSTM,Shallow_Small,1,128,1.5175457000732422,1.4858285188674927,"[2.1810052394866943, 1.8316915035247803, 1.73948335647583, 1.6114988327026367, 1.5175457000732422]","[1.8509236574172974, 1.8006319999694824, 1.6670280694961548, 1.561448574066162, 1.4858285188674927]",29.733236340000076,LSTM_PreInjectV2_Shallow_Small_L1_H128.weights.h5,trained
preinject_v2,LSTM,Deep_Small,2,128,1.8289151191711426,1.8169119358062744,"[2.157630205154419, 1.873927354812622, 1.8729090690612793, 1.8634940385818481, 1.8289151191711426]","[1.8719607591629028, 1.8729207515716553, 1.8743550777435303, 1.8499929904937744, 1.8169119358062744]",32.59407677699983,LSTM_PreInjectV2_Deep_Small_L2_H128.weights.h5,trained
preinject_v2,LSTM,VeryDeep_Small,3,128,1.8392627239227295,1.8335566520690918,"[2.177370548248291, 1.8734482526779175, 1.871264100074768, 1.8582994937896729, 1.8392627239227295]","[1.8708504438400269, 1.8736753463745117, 1.8684409856796265, 1.8538901805877686, 1.8335566520690918]",36.30790836699998,LSTM_PreInjectV2_VeryDeep_Small_L3_H128.weights.h5,trained
preinject_v2,LSTM,Shallow_Mid,1,256,1.3796114921569824,1.3554521799087524,"[2.099276304244995, 1.7479256391525269, 1.5750584602355957, 1.4643080234527588, 1.3796114921569824]","[1.8345355987548828, 1.6476736068725586, 1.5156490802764893, 1.4243093729019165, 1.3554521799087524]",42.97438868499967,LSTM_PreInjectV2_Shallow_Mid_L1_H256.weights.h5,trained
preinject_v2,LSTM,Shallow_Large,1,512,1.2606909275054932,1.2558817863464355,"[2.0272343158721924, 1.616641640663147, 1.4423599243164062, 1.338752031326294, 1.2606909275054932]","[1.753916621208191, 1.5104146003723145, 1.3916590213775635, 1.310713529586792, 1.2558817863464355]",73.93065316399998,LSTM_PreInjectV2_Shallow_Large_L1_H512.weights.h5,trained
preinject_v2,LSTM,Deep_Large,2,512,1.5132452249526978,1.4833805561065674,"[2.0294318199157715, 1.7764607667922974, 1.7136832475662231, 1.6358470916748047, 1.5132452249526978]","[1.827574372291565, 1.7422780990600586, 1.6951406002044678, 1.5843948125839233, 1.4833805561065674]",88.79688365099992,LSTM_PreInjectV2_Deep_Large_L2_H512.weights.h5,trained
